LC,PA_rank.trend,lower.HPD,upper.HPD,fns,scale
Grassland,-9.600691523892202e-4,-0.007647299756756709,0.005724471624950489,Soil_carbon_service,global
Shrubland,-0.002937867119752857,-0.010090180222849021,0.004093017973874513,Soil_carbon_service,global
Woodland,-0.001909697520956044,-0.007927334785703621,0.004069300953569055,Soil_carbon_service,global
Grassland,-0.0030876419831491475,-0.009485720806356568,0.0038071720240999696,OM_decomposition_service,global
Shrubland,-0.005469645137963219,-0.012391081524517844,0.001616195904328599,OM_decomposition_service,global
Woodland,-0.003687460760579242,-0.009693069498188933,0.0022594912088891306,OM_decomposition_service,global
Grassland,0.010399859281491786,-0.005917103036203741,0.026381634912404195,Soil_stability_service,global
Shrubland,-0.01978189091817839,-0.037048005036503184,-0.0028786657262145354,Soil_stability_service,global
Woodland,-0.001684698605547652,-0.016494878713011474,0.012635316043102307,Soil_stability_service,global
Grassland,0.0019580758852084656,-0.0045180567190907794,0.008477816509694591,Nutrient_service,global
Shrubland,0.002300409449208729,-0.004510709115178813,0.009045674925268088,Nutrient_service,global
Woodland,-0.005567603162345058,-0.011360031984606778,2.4698422720170754e-4,Nutrient_service,global
Grassland,4.76417095569559e-5,-3.5603409556017596e-4,4.371522453112675e-4,Pathogen_control,global
Shrubland,-2.1460589329791446e-4,-6.293599890909718e-4,2.043433435829911e-4,Pathogen_control,global
Woodland,2.9529997201649394e-4,-5.3217900656932215e-05,6.583406889433263e-4,Pathogen_control,global
Grassland,-7.3099645837792195,-115.44772422511596,93.9962246234063,Bac_richness,global
Shrubland,-96.5382376863854,-207.01330308173783,13.719666528282687,Bac_richness,global
Woodland,135.15289941150695,39.83237180695869,226.70848158060107,Bac_richness,global
Grassland,0.9008032421734242,-10.76540851820755,12.509636907096137,Fungi_richness,global
Shrubland,-15.805023268541845,-27.924489942015498,-3.2861223033833085,Fungi_richness,global
Woodland,17.287657160653907,6.923012016726716,27.70972702945437,Fungi_richness,global
Grassland,-2.7358734589188316,-6.062258605015813,0.827284709943342,Invertebrate_richness,global
Shrubland,-2.9593995393697696,-6.6802031899733265,0.63536631810166,Invertebrate_richness,global
Woodland,4.101453328280513,0.9754604191020917,7.227031837857794,Invertebrate_richness,global
Grassland,-1.711038953224488,-19.12711298270733,15.81046276591951,Protist_richness,global
Shrubland,-2.6140491313017264,-21.394939572142903,15.62852446440229,Protist_richness,global
Woodland,20.26400614639715,4.377422856356134,35.918805144465296,Protist_richness,global
Grassland,-0.37788715830492947,-2.2503130057666567,1.5381705321624395,Nematode_richness,global
Shrubland,-1.5073485914958837,-3.5333720722710495,0.4642986597682466,Nematode_richness,global
Woodland,2.514176414370013,0.8094148882164518,4.23575960864855,Nematode_richness,global
Grassland,0.011092407845808339,-0.021814913280650217,0.04442101064466897,Bac_shannonDiv,global
Shrubland,-0.03298792057762512,-0.06839050337634944,0.0011111224599744673,Bac_shannonDiv,global
Woodland,0.06204367549202061,0.03205536158770883,0.09054531209199013,Bac_shannonDiv,global
Grassland,0.0160097789735687,-0.021176444774255287,0.051295002781102994,Fungi_shannonDiv,global
Shrubland,-0.06268785964371659,-0.10056545436111719,-0.024165283252614245,Fungi_shannonDiv,global
Woodland,0.037637834973025974,0.005022594852277962,0.06964622774836471,Fungi_shannonDiv,global
Grassland,0.02909539630462632,-0.015581955910192846,0.07263141119693728,Invertebrate_shannonDiv,global
Shrubland,-0.037979022498973336,-0.08339149524039158,0.008198088536062187,Invertebrate_shannonDiv,global
Woodland,0.04464631756903259,0.0053824393316403984,0.08449785531553289,Invertebrate_shannonDiv,global
Grassland,0.007453441906875469,-0.03870629993923558,0.05450639544540081,Protist_shannonDiv,global
Shrubland,-0.01399927117046218,-0.0642968898135905,0.034569355624171294,Protist_shannonDiv,global
Woodland,0.05902929259553957,0.01770101129432078,0.10134898396279368,Protist_shannonDiv,global
Grassland,-0.10761849464017814,-0.43878147823693325,0.21213786525902378,Ectomycorrhizal_richness,global
Shrubland,-0.215934893114877,-0.56661343502617,0.12113668499102914,Ectomycorrhizal_richness,global
Woodland,-4.4342772378058726e-4,-0.28703402458859273,0.3011979196878656,Ectomycorrhizal_richness,global
Grassland,0.01564611596342047,-0.2644171336501131,0.2956831741342967,Arbuscularmycorrhizal_richness,global
Shrubland,-0.4659008237558737,-0.7532006665728659,-0.1688464828376368,Arbuscularmycorrhizal_richness,global
Woodland,0.2897568262073378,0.04368433723163889,0.5410005665515882,Arbuscularmycorrhizal_richness,global
Grassland,0.2698203501900025,-0.5208159798135057,1.0597231819738226,Decomposer_richness,global
Shrubland,-1.190882945707699,-2.003839547772259,-0.3207442548077779,Decomposer_richness,global
Woodland,1.2756364520871557,0.5547612199002288,1.9641538699647754,Decomposer_richness,global
Grassland,-0.001217849859635578,-0.002527985071708372,1.2915052583650777e-4,Bac_JaccDist_av,global
Shrubland,9.701365460941247e-4,-3.9882909855748494e-4,0.002399788718960849,Bac_JaccDist_av,global
Woodland,-0.002458173122796836,-0.003659478970931218,-0.0012901888967036257,Bac_JaccDist_av,global
Grassland,-0.0011023126843809905,-0.0023754366715422748,1.3787754839711397e-4,Fungi_JaccDist_av,global
Shrubland,0.0011275120533795757,-1.743699253466957e-4,0.0024588940494822964,Fungi_JaccDist_av,global
Woodland,-0.0021346771995354175,-0.003233785947685419,-0.0010005308252374334,Fungi_JaccDist_av,global
Grassland,-4.2189243421830724e-4,-0.0017940909059461774,9.514676576429792e-4,Protist_JaccDist_av,global
Shrubland,8.661735352788469e-4,-5.856007916236194e-4,0.00229645529115885,Protist_JaccDist_av,global
Woodland,-0.00243390364140339,-0.00365831521277471,-0.0012093737289831097,Protist_JaccDist_av,global
Grassland,-9.272989920816599e-5,-0.0013202158364720162,0.0010774799466020113,Invertebrate_JaccDist_av,global
Shrubland,9.690822267174326e-4,-2.898744829167299e-4,0.0022511210312075036,Invertebrate_JaccDist_av,global
Woodland,-0.0018190465688547874,-0.002861460313738462,-7.235544129002847e-4,Invertebrate_JaccDist_av,global
